Date,소비지_정책및규제_중국_impact_score_sum,소비지_정책및규제_중국_impact_score_mean,소비지_정책및규제_중국_pos_frequency,소비지_정책및규제_중국_neg_frequency,소비지_정책및규제_중국_zero_frequency,소비지_정책및규제_중국_sentiment
2018.1.5 0:00,0,0,0,0,3,0
2018.1.12 0:00,0,0,0,0,0,0
2018.1.19 0:00,1,1,1,0,0,1
2018.1.26 0:00,0,0,0,0,0,0
2018.2.2 0:00,0,0,0,0,0,0
2018.2.9 0:00,0,0,0,0,1,0
2018.2.16 0:00,1,0.333333333,1,0,2,1
2018.2.23 0:00,-5,-5,0,1,0,-1
2018.3.2 0:00,-4,-0.8,1,2,2,-1
2018.3.9 0:00,0,0,0,0,3,0
2018.3.16 0:00,-1,-0.5,1,1,0,-1
2018.3.23 0:00,0,0,0,0,2,0
2018.3.30 0:00,-5,-5,0,1,0,-1
2018.4.6 0:00,1,0.2,2,2,1,1
2018.4.13 0:00,0,0,0,0,1,0
2018.4.20 0:00,17,3.4,4,0,1,1
2018.4.27 0:00,8,4,2,0,0,1
2018.5.4 0:00,5,2.5,1,0,1,1
2018.5.11 0:00,1,0.5,1,0,1,1
2018.5.18 0:00,0,0,0,0,0,0
2018.5.25 0:00,-5,-5,0,1,0,-1
2018.6.1 0:00,5,5,1,0,0,1
2018.6.8 0:00,0,0,0,0,1,0
2018.6.15 0:00,-2,-2,0,1,0,-1
2018.6.22 0:00,-3,-0.75,1,1,2,-1
2018.6.29 0:00,0,0,0,0,1,0
2018.7.6 0:00,0,0,0,0,3,0
2018.7.13 0:00,4,0.8,2,3,0,1
2018.7.20 0:00,0,0,0,0,2,0
2018.7.27 0:00,-2,-2,0,1,0,-1
2018.8.3 0:00,-1,-0.333333333,1,1,1,-1
2018.8.10 0:00,2,1,1,1,0,1
2018.8.17 0:00,15,5,3,0,0,1
2018.8.24 0:00,-3,-1.5,0,1,1,-1
2018.8.31 0:00,0,0,0,0,1,0
2018.9.7 0:00,0,0,0,0,1,0
2018.9.14 0:00,0,0,0,0,0,0
2018.9.21 0:00,-10,-3.333333333,0,2,1,-1
2018.9.28 0:00,-7,-7,0,1,0,-1
2018.10.5 0:00,-3,-3,0,1,0,-1
2018.10.12 0:00,5,1.666666667,1,0,2,1
2018.10.19 0:00,0,0,0,0,2,0
2018.10.26 0:00,0,0,0,0,0,0
2018.11.2 0:00,8,4,2,0,0,1
2018.11.9 0:00,5,2.5,2,0,0,1
2018.11.16 0:00,1,1,1,0,0,1
2018.11.23 0:00,0,0,0,0,2,0
2018.11.30 0:00,0,0,0,0,5,0
